c,q,alpha_h,s,v,lam_max,N_half
1.20,0.716,0.3885372518,0.7576701996,0.2188575213,0.6537279123,1.6307
1.20,0.717,0.3891043865,0.7587198035,0.2191637335,0.6534912251,1.6293
1.20,0.718,0.389671627,0.759769359,0.2194699695,0.6532539999,1.6279
1.20,0.719,0.3902389735,0.760818866,0.2197762295,0.6530162316,1.6265
1.20,0.720,0.390806426,0.7618683242,0.2200825137,0.6527779366,1.6251
1.20,0.721,0.3913739847,0.7629177336,0.2203888223,0.6525391008,1.6237
1.20,0.722,0.3919416499,0.7639670939,0.2206951555,0.6522997254,1.6223
1.20,0.723,0.3925094217,0.765016405,0.2210015134,0.6520598179,1.6209
1.20,0.724,0.3930773003,0.7660656668,0.2213078963,0.6518193618,1.6195
1.20,0.725,0.3936452858,0.7671148791,0.2216143044,0.6515783724,1.6182
1.20,0.726,0.3942133785,0.7681640418,0.2219207378,0.6513368422,1.6168
1.20,0.727,0.3947815785,0.7692131546,0.2222271968,0.6510947642,1.6154
1.20,0.728,0.3953498859,0.7702622175,0.2225336816,0.6508521500,1.6139
1.20,0.729,0.3959183011,0.7713112303,0.2228401922,0.6506090000,1.6125
1.20,0.730,0.396486824,0.7723601929,0.2231467291,0.6503652989,1.6111
1.20,0.731,0.397055455,0.773409105,0.2234532923,0.6501210558,1.6097
1.20,0.732,0.3976241942,0.7744579665,0.223759882,0.6498762730,1.6083
1.20,0.733,0.3981930417,0.7755067773,0.2240664985,0.6496309380,1.6069
1.20,0.734,0.3987619977,0.7765555372,0.2243731419,0.6493850669,1.6055
1.20,0.735,0.3993310625,0.777604246,0.2246798125,0.6491386393,1.6041
1.20,0.736,0.3999002362,0.7786529036,0.2249865105,0.6488916784,1.6027
1.20,0.737,0.4004695189,0.7797015099,0.225293236,0.6486441609,1.6013
1.20,0.738,0.4010389109,0.7807500646,0.2255999893,0.6483960894,1.5999
1.20,0.739,0.4016084124,0.7817985677,0.2259067705,0.6481474791,1.5985
1.20,0.740,0.4021780234,0.7828470189,0.2262135799,0.6478983224,1.5970
1.20,0.741,0.4027477442,0.7838954181,0.2265204178,0.6476486050,1.5956
1.20,0.742,0.403317575,0.7849437652,0.2268272842,0.6473983477,1.5942
1.20,0.743,0.4038875159,0.7859920599,0.2271341794,0.6471475407,1.5928
1.20,0.744,0.4044575671,0.7870403021,0.2274411036,0.6468961777,1.5914
1.20,0.745,0.4050277288,0.7880884917,0.2277480571,0.6466442622,1.5899
1.20,0.746,0.4055980012,0.7891366285,0.22805504,0.6463917981,1.5885
1.20,0.747,0.4061683845,0.7901847123,0.2283620525,0.6461387662,1.5871
1.20,0.748,0.4067388787,0.791232743,0.2286690949,0.6458851941,1.5857
1.20,0.749,0.4073094842,0.7922807203,0.2289761674,0.6456310618,1.5842
1.20,0.750,0.4078802011,0.7933286443,0.2292832702,0.6453763796,1.5828
1.20,0.751,0.4084510295,0.7943765146,0.2295904034,0.6451211417,1.5814
1.20,0.752,0.4090219697,0.7954243311,0.2298975674,0.6448653330,1.5800
1.20,0.753,0.4095930219,0.7964720937,0.2302047623,0.6446089776,1.5785
1.20,0.754,0.4101641861,0.7975198022,0.2305119884,0.6443520655,1.5771
1.20,0.755,0.4107354626,0.7985674564,0.2308192458,0.6440945883,1.5757
