alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.282955,0.161177,0.690310,1.599364e-01,6.715272e-01,1.599364e-01,-6.715272e-01,-1.299924e-10,0.000000e+00
0.290909,0.165573,0.688200,1.291858e-01,6.759660e-01,1.291858e-01,-6.759660e-01,-1.519778e-10,0.000000e+00
0.298864,0.169961,0.686006,9.805798e-02,6.789612e-01,9.805798e-02,-6.789612e-01,-1.856422e-10,0.000000e+00
0.306818,0.174340,0.683726,6.660489e-02,6.804744e-01,6.660489e-02,-6.804744e-01,-1.771285e-10,0.000000e+00
0.314773,0.178710,0.681361,3.488161e-02,6.804673e-01,3.488161e-02,-6.804673e-01,-1.791938e-10,0.000000e+00
0.322727,0.183071,0.678908,2.946406e-03,6.789014e-01,2.946406e-03,-6.789014e-01,-1.825282e-10,0.000000e+00
0.330682,0.187424,0.676366,-2.913909e-02,6.757381e-01,-2.913909e-02,-6.757381e-01,-1.729236e-10,0.000000e+00
0.338636,0.191768,0.673735,-6.130981e-02,6.709394e-01,-6.130981e-02,-6.709394e-01,-1.880675e-10,0.000000e+00
0.346591,0.196104,0.671013,-9.349710e-02,6.644670e-01,-9.349710e-02,-6.644670e-01,-1.947077e-10,0.000000e+00
0.354545,0.200432,0.668199,-1.256286e-01,6.562829e-01,-1.256286e-01,-6.562829e-01,-1.846817e-10,0.000000e+00
0.362500,0.204752,0.665293,-1.576282e-01,6.463494e-01,-1.576282e-01,-6.463494e-01,-1.971269e-10,0.000000e+00
0.370455,0.209065,0.662293,-1.894157e-01,6.346284e-01,-1.894157e-01,-6.346284e-01,-2.082750e-10,0.000000e+00
0.378409,0.213369,0.659198,-2.209071e-01,6.210817e-01,-2.209071e-01,-6.210817e-01,-1.503551e-10,0.000000e+00
0.386364,0.217667,0.656009,-2.520141e-01,6.056704e-01,-2.520141e-01,-6.056704e-01,-1.796488e-10,0.000000e+00
0.394318,0.221958,0.652724,-2.826441e-01,5.883539e-01,-2.826441e-01,-5.883539e-01,-1.879015e-10,0.000000e+00
0.402273,0.226242,0.649342,-3.127004e-01,5.690895e-01,-3.127004e-01,-5.690895e-01,-1.769491e-10,0.000000e+00
0.410227,0.230520,0.645862,-3.420814e-01,5.478304e-01,-3.420814e-01,-5.478304e-01,-1.563529e-10,0.000000e+00
0.418182,0.234792,0.642285,-3.706815e-01,5.245233e-01,-3.706815e-01,-5.245233e-01,-1.539342e-10,0.000000e+00
0.426136,0.239058,0.638608,-3.983899e-01,4.991049e-01,-3.983899e-01,-4.991049e-01,-1.730648e-10,0.000000e+00
0.434091,0.243320,0.634832,-4.250915e-01,4.714961e-01,-4.250915e-01,-4.714961e-01,-1.458914e-10,0.000000e+00
0.442045,0.247577,0.630955,-4.506662e-01,4.415925e-01,-4.506662e-01,-4.415925e-01,-1.650430e-10,0.000000e+00
0.450000,0.251829,0.626976,-4.749891e-01,4.092488e-01,-4.749891e-01,-4.092488e-01,-1.467004e-10,0.000000e+00
