beta,q,alpha_h_difference,s_real_difference,T_difference,lam_max_difference,N_half_difference
0.1,0.068,7.80483316864533e-13,1.5603074388082e-12,2.15427675698265e-12,8.58169091344507e-12,4.02608293370577e-08
0.1,0.072,7.12777059597158e-13,1.42487410759173e-12,2.09743333812185e-12,-5.29389865278063e-11,-1.97696806480963e-07
0.1,0.076,6.62275789764522e-13,1.32384381235084e-12,2.05035988187774e-12,-8.74522676497236e-11,-2.63203233430431e-07
0.1,0.08,6.16964812572007e-13,1.23320798017801e-12,1.98818739249873e-12,7.71377406394436e-11,1.89196988742424e-07
0.1,0.084,5.71750979894148e-13,1.14276643703448e-12,1.97974969751158e-12,1.4452328223058e-11,2.91791835138611e-08
0.1,0.088,5.48797118860023e-13,1.096803203815e-12,1.98152605435098e-12,-2.77888823063677e-11,-4.66069209892339e-08
0.15,0.04,2.70662312007452e-12,5.41254541186476e-12,2.67208477566783e-12,2.99991143037914e-11,2.01361490326235e-06
0.15,0.044,2.34568614532193e-12,4.69064370678396e-12,2.59170462868497e-12,2.14824602551289e-10,9.85298754585529e-06
0.15,0.048,2.05263930852517e-12,4.10451533872092e-12,2.49489318093765e-12,-6.00586247401225e-12,-1.945772964973e-07
0.15,0.052,1.82300355366927e-12,3.64521607343349e-12,2.35189645536593e-12,-2.54796184151473e-11,-5.99590393335347e-07
0.15,0.056,1.63795019214596e-12,3.27507465591736e-12,2.30082619623317e-12,-2.23870699755935e-10,-3.91852789505265e-06
0.15,0.06,1.47709969255949e-12,2.9533459011688e-12,2.27107221917322e-12,5.42099698463971e-11,7.20387063779526e-07
0.15,0.064,1.28112451203144e-12,2.5614024790066e-12,2.04414263293984e-12,-2.26010765658202e-10,-2.32127837307416e-06
0.15,0.068,1.23784316130582e-12,2.47476344972242e-12,2.1174173525651e-12,1.63682400966536e-11,1.31984748463765e-07
0.15,0.072,1.13370077214903e-12,2.26645785472712e-12,2.09743333812185e-12,8.23576762343237e-11,5.28669673371951e-07
0.15,0.076,1.04752317930945e-12,2.09406797457845e-12,2.04902761424819e-12,6.61204424545758e-12,3.4210430044368e-08
0.15,0.08,9.72201485982538e-13,1.94340377124291e-12,1.99618099827603e-12,-7.89666110279086e-11,-3.32998041585597e-07
0.15,0.084,9.11187791885482e-13,1.82133474968538e-12,1.96065386148803e-12,2.59730015272908e-11,9.01692516208641e-08
0.15,0.088,8.5970119911849e-13,1.71833380857578e-12,1.96243021832743e-12,5.03685981811941e-11,1.45275564022995e-07
