q,alpha_h,s,v,lam_max,is_complex,dlam_dq_fd,dlam_dq_pert,c_swing,c_reset,c_reset_geom,c_reset_vel,c_reset_push,norm_BA_minus_J,absEigA1,absEigA2,cos2alpha_h,dabslam_dq
0.289,0.1433585922,0.2857361062,0.08261938292,0.7150965426,1,-1.14758736,-1.147587867,0.1658879883,-1.313475855,-1.266060379,-0.5944348833,0.5470196457,2.013828787e-10,5.662972154,0.9999999995,0.9591774388,-0.05499514519
0.288,0.1428585105,0.284746167,0.08233371533,0.7151514225,1,-1.143803002,-1.143803508,0.1651745979,-1.308978106,-1.261791348,-0.5924610506,0.5452745298,1.592349588e-10,5.664508966,0.999999996,0.9594598102,-0.05476524478
0.287,0.142358471,0.2837562401,0.08204804641,0.7152060736,1,-1.140018908,-1.140019415,0.1644602955,-1.30447971,-1.257520983,-0.5904862783,0.5435277881,2.242116199e-10,5.666039491,1.000000018,0.9597411981,-0.05453622336
0.286,0.1418584735,0.2827663256,0.08176237616,0.7152604954,1,-1.13623135,-1.136231833,0.163748832,-1.299980665,-1.25324929,-0.5885105687,0.5417794294,2.475128074e-10,5.667563999,0.9999997356,0.9600216025,-0.05430083931
0.285,0.141358518,0.2817764234,0.08147670457,0.7153146757,1,-1.132434489,-1.132435001,0.1630460164,-1.295481017,-1.248976303,-0.586533942,0.5400294632,1.366481846e-10,5.669081697,1.000000271,0.9603010236,-0.05406154533
0.284,0.1408586042,0.2807865335,0.08119103162,0.7153686189,1,-1.128649008,-1.1286495,0.1623312078,-1.290980708,-1.244701984,-0.5845563772,0.5382778875,1.565047971e-10,5.670593521,1.000000254,0.9605794613,-0.05384328879
0.283,0.1403587321,0.2797966558,0.08090535731,0.7154223627,1,-1.124858549,-1.124859035,0.1616207408,-1.286479775,-1.240426365,-0.5825778926,0.5365247161,1.452602305e-10,5.672099024,1.000000297,0.9608569157,-0.05361993131
0.282,0.1398589014,0.2788067903,0.08061968162,0.7154758592,1,-1.121055855,-1.121056349,0.1609218844,-1.281978233,-1.236149464,-0.5805984977,0.5347699612,1.431265082e-10,5.673598471,1.000000264,0.9611333868,-0.05338383203
0.281,0.139359112,0.277816937,0.08033400454,0.7155291308,1,-1.117263141,-1.117263616,0.1602124479,-1.277476064,-1.231871268,-0.5786181867,0.5330136226,2.383866527e-10,5.67509185,1.000000001,0.9614088748,-0.05316108388
0.28,0.1388593638,0.2768270958,0.08004832607,0.7155821818,1,-1.113456248,-1.113456737,0.1595165674,-1.272973305,-1.227591809,-0.576636977,0.5312557118,2.399496148e-10,5.676578668,1.000000269,0.9616833795,-0.05292479619
0.279,0.1383596566,0.2758372667,0.07976264619,0.7156349808,1,-1.109644883,-1.109645378,0.1588245484,-1.268469926,-1.223311067,-0.5746548591,0.5294962301,2.220383883e-10,5.678059476,1.000000282,0.9619569011,-0.05268647264
0.278,0.1378599902,0.2748474497,0.0794769649,0.7156875551,1,-1.105846676,-1.105847133,0.1581187827,-1.263965916,-1.219029039,-0.5726718307,0.5277351828,1.71661948e-10,5.679534513,0.9999997304,0.9622294397,-0.0524727845
0.277,0.1373603646,0.2738576447,0.07919128218,0.7157399268,1,-1.102043936,-1.102044409,0.1574169388,-1.259461347,-1.214745782,-0.5706879236,0.5259725863,1.273210213e-10,5.681002731,1.000000011,0.9625009952,-0.05225876001
0.276,0.1368607795,0.2728678516,0.07890559803,0.7157920731,1,-1.098227201,-1.098227684,0.1567285057,-1.254956189,-1.210461281,-0.5687031304,0.5242084493,9.205280354e-11,5.682465123,0.9999999829,0.9627715678,-0.05201795361
0.275,0.1363612348,0.2718780705,0.07861991243,0.7158439631,1,-1.094420886,-1.094421341,0.1560290796,-1.25045042,-1.206175517,-0.5667174413,0.5224427649,1.520166248e-10,5.683921473,0.9999997448,0.9630411574,-0.05179677279
0.274,0.1358617304,0.2708883014,0.07833422538,0.7158956671,1,-1.090603849,-1.090604326,0.1553397705,-1.245944096,-1.20188854,-0.5647308836,0.5206755536,1.829929127e-10,5.68537133,0.9999999897,0.9633097641,-0.05157151384
0.273,0.135362266,0.2698985441,0.07804853686,0.7159471066,1,-1.086772273,-1.08677273,0.1546644411,-1.241437171,-1.197600319,-0.5627434409,0.5189068134,2.618659829e-10,5.68681548,0.9999997247,0.963577388,-0.05132732939
0.272,0.1348628416,0.2689087986,0.07776284688,0.7159983222,1,-1.082959473,-1.082959933,0.1539697513,-1.236929684,-1.193310882,-0.5607551297,0.5171365517,2.55720905e-10,5.688253047,1.000000011,0.963844029,-0.05110885083
0.271,0.134363457,0.2679190649,0.07747715542,0.7160493247,1,-1.079141089,-1.079141541,0.1532800872,-1.232421628,-1.189020234,-0.5587659524,0.515364782,1.244345753e-10,5.689684741,0.9999999985,0.9641096873,-0.05088931083
0.27,0.133864112,0.2669293431,0.07719146246,0.7161001012,1,-1.075307182,-1.075307652,0.1526053658,-1.227913018,-1.184728388,-0.5567759167,0.5135915089,2.273772909e-10,5.69111017,1.00000027,0.9643743629,-0.0506517851
0.269,0.1333648066,0.2659396329,0.07690576802,0.7161506286,1,-1.071499237,-1.071499672,0.1519041455,-1.223403818,-1.180435318,-0.5547850095,0.5118167312,1.667985776e-10,5.692529859,1,0.9646380558,-0.05044867038
0.268,0.1328655405,0.2649499344,0.07662007207,0.716200999,1,-1.067680157,-1.067680621,0.1512134743,-1.218894095,-1.176141082,-0.5527932623,0.5100404704,1.137011199e-10,5.693943063,1.000000256,0.9649007661,-0.05024092547
0.267,0.1323663135,0.2639602476,0.0763343746,0.7162511108,1,-1.063832258,-1.063832686,0.1505511061,-1.214383792,-1.171845641,-0.5508006544,0.5082627232,2.618316523e-10,5.695350845,0.9999997224,0.9651624938,-0.04999444775
0.266,0.1318671256,0.2629705724,0.07604867562,0.7163009883,1,-1.059997098,-1.059997563,0.1498754162,-1.209872979,-1.167549046,-0.5488072143,0.5064835003,1.899588275e-10,5.69675177,1.000000251,0.965423239,-0.04976577989
0.265,0.1313679767,0.2619809088,0.07576297511,0.7163506428,1,-1.056169841,-1.056170268,0.1491913149,-1.205361583,-1.163251251,-0.5468129174,0.5047028029,1.230080028e-10,5.698147387,0.999999761,0.9656830017,-0.04955251645
0.264,0.1308688664,0.2609912568,0.07547727306,0.7164000938,1,-1.052329082,-1.052329531,0.148520147,-1.200849678,-1.158952311,-0.5448177942,0.5029206445,1.372809865e-10,5.699536391,1.000000005,0.9659417819,-0.04932193843
0.263,0.1303697947,0.2600016162,0.07519156948,0.716449287,1,-1.048489583,-1.048490006,0.1478472134,-1.196337219,-1.154652199,-0.5428218308,0.5011370271,1.957316897e-10,5.700919766,0.9999997639,0.9661995798,-0.04910049239
0.262,0.1298707615,0.2590119872,0.07490586434,0.7164982952,1,-1.044652548,-1.044652991,0.1471712666,-1.191824257,-1.150350957,-0.5408250497,0.4993519647,9.066890953e-11,5.702296746,1.000000003,0.9664563953,-0.04888420009
0.261,0.1293717666,0.2580223695,0.07462015764,0.7165470558,1,-1.040812221,-1.040812647,0.1464981056,-1.187310752,-1.146048555,-0.5388274364,0.4975654538,1.816796386e-10,5.703667826,1.000000031,0.9667122284,-0.04866445262
