beta,alpha_p,q,alpha_h,s_real,T,v,q_over_T,lam_max,N_half,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im,fixed_point_residual
0.05,0.251136363636364,0.497009672242602,0.232387040162667,0.460602105229488,3.44998645289654,0.13350838083517,0.144061340248256,0.316455568817206,0.60243680658826,0.0899095113426683,0.303414579091949,0.0899095113426683,-0.303414579091949,5.50503653818433e-10,0,2.72342554320919e-13
0.05,0.259090909090909,0.512403818875562,0.239886674388796,0.475185094862628,3.45056510643412,0.137712252980409,0.148498522146446,0.324109104709863,0.615214798609433,0.0650654968838091,0.31751093346701,0.0650654968838091,-0.31751093346701,4.83512578408894e-10,0,2.87038520248834e-13
0.05,0.267045454545455,0.527765543433711,0.247398485131764,0.489764969654043,3.45112816335013,0.141914454193614,0.152925512601477,0.331650161009611,0.628035819716318,0.039720649000401,0.329262963815683,0.039720649000401,-0.329262963815683,4.27606553607727e-10,0,3.10732009213778e-13
0.05,0.275,0.543093873912226,0.254922716880671,0.504341247686421,3.45167248909367,0.146115035328525,0.157342237894311,0.33907260375924,0.640888477719691,0.0139073962044441,0.338787270939868,0.0139073962044441,-0.338787270939868,3.20593633624512e-10,0,3.30561061873527e-13
0.05,0.282954545454545,0.558387840419276,0.262459601818472,0.518913412841966,3.4521948536157,0.150314056664118,0.161748645165391,0.346370521371207,0.65376058571496,-0.0123397347313787,0.346150644982385,-0.0123397347313787,-0.346150644982385,2.51445794815706e-10,0,3.52426141583024e-13
0.05,0.290909090909091,0.573646475237395,0.270009359398419,0.533480913985903,3.45269193231178,0.154511588188149,0.166144702882109,0.353538202895472,0.666639123089271,-0.038984018149918,0.351382280764763,-0.038984018149918,-0.351382280764763,2.51578665359981e-10,0,3.73755036462133e-13
0.05,0.298863636363636,0.588868812884706,0.277572195921543,0.548043164183281,3.4531603071424,0.158707709876581,0.170530401286818,0.360570122306817,0.679510207658968,-0.0659864179158313,0.354480755120768,-0.0659864179158313,-0.354480755120768,1.65032934819696e-10,0,3.96162898729153e-13
0.05,0.306818181818182,0.604053890176021,0.285148304115948,0.56259953995175,3.45359646794318,0.162902511967998,0.174905752824032,0.367460921943776,0.692359067658527,-0.0933054869345782,0.355417522448839,-0.0933054869345782,-0.355417522448839,1.19153662630537e-10,0,4.12257680435101e-13
0.05,0.314772727272727,0.619200746283776,0.292737862719034,0.577149380553699,3.45399681393707,0.167096095232303,0.179270792545397,0.374205413697568,0.705170049345012,-0.120897235012511,0.354137755974843,-0.120897235012511,-0.354137755974843,1.10036303099172e-10,0,4.43377660134329e-13
0.05,0.322727272727273,0.634308422798834,0.300341036063726,0.591691987330964,3.45435765546146,0.171288571232767,0.183625578490974,0.380798530605818,0.717926533482073,-0.148715047099968,0.350558633722811,-0.148715047099968,-0.350558633722811,5.58123124373549e-11,0,4.66719669685766e-13
