beta,alpha_p,legacy_alpha_rounding,rho_difference,q_over_T_difference,fixed_point_residual
0,0.0876923076923077,3.07692307688345e-07,-5.6767290312898e-08,4.22829370107236e-07,2.36910810883599e-13
0,0.0897435897435898,4.10256410246501e-07,-3.28005557048705e-07,-2.38966806322127e-07,2.48479151123786e-13
0,0.0917948717948718,1.28205128194225e-07,1.8955691449829e-07,-1.86773081063685e-07,2.58706084532251e-13
0,0.0938461538461538,1.53846153844173e-07,4.76997282339298e-07,-4.26583124026048e-07,2.70774200049476e-13
0,0.0958974358974359,4.35897435910326e-07,-4.79704725941943e-07,3.56459306932733e-08,2.84031290629929e-13
0,0.097948717948718,2.82051282038398e-07,3.01275330238937e-07,1.93994267587427e-07,2.96324413541998e-13
0,0.1,0,-1.96885064807084e-07,4.25801702994e-08,3.10266561664304e-13
0,0.107954545454545,4.54545454539601e-07,1.13741714602433e-07,2.70301118529548e-07,2.34750365197296e-13
0,0.115909090909091,9.09090909079202e-08,-2.31550002283143e-07,4.17835886140638e-07,2.71008303621526e-13
0,0.123863636363636,3.63636363631681e-07,-3.67900887754402e-07,1.59898387488977e-07,3.1153160186065e-13
0,0.131818181818182,1.81818181843596e-07,-4.9234567733869e-07,1.81500809645629e-07,3.56433986241155e-13
0,0.139772727272727,2.72727272737638e-07,1.46181922233701e-07,1.78605959230693e-07,4.07516514516428e-13
0,0.147727272727273,2.72727272737638e-07,2.42444957998522e-07,-1.41231356109994e-07,4.5445684117637e-13
0,0.155681818181818,1.81818181788085e-07,4.3848214259512e-07,-5.8234614269681e-08,5.13250246208293e-13
0,0.163636363636364,3.63636363631681e-07,3.47440498926765e-07,1.60211640107266e-07,5.67636005049361e-13
0,0.171590909090909,9.0909090921798e-08,-4.74728088173393e-07,2.60165872734142e-07,6.30824047959366e-13
0,0.179545454545455,4.54545454525723e-07,-4.94066791811854e-07,1.71962981354579e-09,6.89329959578399e-13
0,0.1875,0,-2.08838526916111e-07,1.59572919586348e-07,7.636254855567e-13
0,0.195454545454545,4.54545454553479e-07,-1.41584163837472e-07,-4.76405911317701e-07,8.35745346425417e-13
0,0.203409090909091,9.09090908940424e-08,1.65993122358543e-07,-1.00636558100775e-07,9.11676927864683e-13
0,0.211363636363636,3.63636363631681e-07,1.65906346549782e-07,1.08699794526546e-07,9.91390783770333e-13
0,0.219318181818182,1.81818181788085e-07,2.9141983126646e-07,-9.83075321148164e-09,2.14363606953113e-13
0,0.227272727272727,2.72727272737638e-07,-1.89843687437019e-08,3.99575325826795e-07,2.31478327358236e-13
0,0.235227272727273,2.72727272737638e-07,-3.26218665969158e-07,2.10429674657453e-07,2.44518756335719e-13
0,0.243181818181818,1.81818181843596e-07,-1.75943163593928e-07,3.14402633483368e-07,2.69897192324444e-13
0,0.251136363636364,3.6363636357617e-07,-1.10679924336665e-07,-3.78247200755188e-07,2.89314493207224e-13
0,0.259090909090909,9.09090909773091e-08,3.54488480125426e-07,6.17348057674327e-08,3.13678948089595e-13
0,0.267045454545455,4.54545454553479e-07,-2.68391850188898e-07,-4.17015462828019e-07,3.30903254759366e-13
0,0.275,0,-4.55353548090009e-07,1.53881016567992e-07,3.51561929344805e-13
0,0.282954545454545,4.54545454553479e-07,3.78730338201905e-07,-2.37115907408825e-07,3.74374989564615e-13
0,0.290909090909091,9.0909090921798e-08,-1.63081449566782e-07,4.18847241473452e-07,3.91341167311434e-13
0,0.298863636363636,3.63636363687192e-07,-4.20068927198258e-07,1.51304640011451e-07,4.2585395456285e-13
0,0.306818181818182,1.81818181788085e-07,3.03692169079106e-07,1.07317577879851e-08,4.45740751285707e-13
0,0.314772727272727,2.72727272765394e-07,-2.43340875560882e-07,6.87787191644418e-08,4.71278844628661e-13
0,0.322727272727273,2.72727272765394e-07,-2.5280575388642e-07,4.18475627289583e-07,5.03279664558628e-13
0,0.330681818181818,1.81818181788085e-07,1.16017518481115e-07,1.74409153286259e-07,5.25277829440397e-13
0,0.338636363636364,3.63636363631681e-07,-2.10314515580734e-07,4.72869686518607e-07,5.53821361249342e-13
0,0.346590909090909,9.0909090921798e-08,-2.70296976689899e-07,4.71968200244088e-07,5.88581105894126e-13
0,0.354545454545454,4.54545454497968e-07,-4.29763484799395e-08,3.5172226292568e-07,6.13001690726203e-13
0,0.3625,5.55111512312578e-17,-4.55729917026026e-07,3.14110496918429e-07,6.44287642642958e-13
0,0.370454545454545,4.54545454497968e-07,-3.86864893342498e-07,-4.16905316907856e-07,6.75590255988182e-13
0,0.378409090909091,9.0909090921798e-08,3.27239994435402e-07,4.04609053678007e-07,7.14011534811929e-13
0,0.386363636363636,3.63636363631681e-07,-1.01216281356287e-07,4.65160061302594e-08,7.41755253413738e-13
0,0.394318181818182,1.81818181788085e-07,-4.48223670734826e-07,-2.01472220934251e-07,7.75739787920761e-13
0,0.402272727272727,2.72727272765394e-07,-4.59668268892877e-07,-2.79066624808699e-08,8.17437870977537e-13
0,0.410227272727273,2.72727272654372e-07,1.22493375775967e-07,-9.97498804666819e-08,8.49167037242323e-13
