beta,q,alpha_h,s_real,T,lam_max,N_half,theta_dot,phi_dot,fixed_point_residual,lam_delta1e7,N_delta1e7
0,0.08,0.0395351087153266,0.0790496209216191,3.45489111386599,0.943889533637766,12.0033510627248,-0.0421121705002745,-0.000131576161739201,3.58949618563334e-13,0.943889563559863,12.0033576521971
0,0.084,0.0415131878062252,0.0830025304889605,3.45492466766028,0.937642504076498,10.7654069635673,-0.0442188463850524,-0.000152321103736915,3.90375156838516e-13,0.937642530179542,10.7654116182438
0,0.088,0.043491460677283,0.086955502478206,3.45495980047102,0.930961925569034,9.68936579639082,-0.046325678660669,-0.000175140236845518,2.61472722014342e-13,0.930961949629141,9.68936929689842
0.05,0.04,0.0183351412144109,0.0366682278433029,3.43700973821292,0.993716758571211,109.969877053762,-0.0206298864222202,-1.38690488494164e-05,5.23957219019044e-13,0.993716890883851,109.972200164351
0.05,0.044,0.0201692026419526,0.0403356704176037,3.43703216403845,0.9923964868156,90.8144215390772,-0.0226931418609843,-1.84604884091089e-05,6.05056487332562e-13,0.992396598523807,90.8157608777987
0.05,0.048,0.0220034204821493,0.0440032900611542,3.43705671180466,0.990950127891731,76.2448323431371,-0.024756473588928,-2.39678501588185e-05,6.92333669858399e-13,0.990950220041104,76.2456122457536
0.05,0.052,0.0238378089633997,0.0476711028472008,3.43708337772907,0.989377588444233,64.9060881455629,-0.0268198885594535,-3.04745547001445e-05,7.8538807996265e-13,0.989377667484477,64.9065736965519
0.05,0.056,0.0256723823171452,0.0513391248440862,3.43711215769902,0.987678765680832,55.9090205413479,-0.0288833937314354,-3.80640630648167e-05,8.85607593541059e-13,0.98767883409556,55.9093329151548
0.05,0.06,0.0275071547777109,0.0550073721140103,3.43714304727034,0.985853546888079,48.6505519128596,-0.0309469960692187,-4.68198800861979e-05,9.91751291115621e-13,0.985853604621443,48.6507518835386
0.05,0.064,0.0293421403579901,0.0586758602636737,3.43717604166828,0.983901808794313,42.7099462870155,-0.0330107022905021,-5.68255566995606e-05,2.20791725251283e-13,0.983901862052992,42.7100887403622
0.05,0.068,0.0311773537528334,0.0623446062493799,3.43721113578212,0.981823418415414,37.7864448711392,-0.035074519882589,-6.81646974858401e-05,2.44520304046375e-13,0.981823465302817,37.7865432429167
0.05,0.072,0.0330128089769005,0.0660136256529166,3.43724832417239,0.979618232135851,33.6604341455953,-0.0371384555704863,-8.09209579721514e-05,2.69290265750996e-13,0.979618274156264,33.6605042617869
0.05,0.076,0.0348485202785601,0.0696829345077173,3.43728760106469,0.977286095224434,30.1685246819467,-0.0392025163450096,-9.51780519422359e-05,2.9584863077412e-13,0.977286133809645,30.1685765240463
0.05,0.08,0.0366845019101073,0.0733525488385456,3.43732896035048,0.974826841722208,27.1871232734298,-0.0412667092045091,-0.000111019753857301,3.23173833235664e-13,0.974826875350995,27.1871600596664
0.05,0.084,0.0385207681280587,0.0770224846611575,3.43737239558648,0.972240293686321,24.6213432945571,-0.0433310411553819,-0.000128529902234825,3.52839924390916e-13,0.972240327922527,24.6213740917104
0.05,0.088,0.0403573331465539,0.0806927578882547,3.43741790000488,0.969526262182158,22.3973612170685,-0.0453955191598302,-0.000147792402575521,2.16338534398253e-13,0.969526290725472,22.3973825236349
0.1,0.04,0.0171079179431882,0.0342141668574432,3.41988862031405,0.995788477997292,164.236718014645,-0.0202679388987513,-1.18629178465522e-05,4.77106366135033e-13,0.995788740363145,164.24697175521
0.1,0.044,0.0188193627860616,0.0376365038701657,3.41991477128457,0.994904876753134,135.694429466742,-0.0222949794592914,-1.57904906319707e-05,5.51399182397014e-13,0.994905092642262,135.700194027129
0.1,0.048,0.0205309942743173,0.0410591038560531,3.41994340127375,0.993937394281128,113.984636977953,-0.0243220905583209,-2.05016981081325e-05,6.3153924669249e-13,0.993937575682383,113.988058043785
0.1,0.052,0.022242829394926,0.0444819907158031,3.41997450712677,0.992886112468703,97.0887940435093,-0.0263492786266516,-2.60679669099774e-05,7.17527915998447e-13,0.992886267370899,97.0909157257873
0.1,0.056,0.0239548851403032,0.0479051883494137,3.42000808541255,0.991751119053872,83.6821859970177,-0.0283765501003761,-3.25607725159509e-05,8.09349833069069e-13,0.99175125224472,83.6835428077486
0.1,0.06,0.0256671785086614,0.0513287206559154,3.42004413242302,0.990532508343972,72.8662692257962,-0.0304039114211933,-4.0051643330767e-05,9.06993845016424e-13,0.990532624234219,72.8671654384598
0.1,0.064,0.0273797262946553,0.0547526111138454,3.42008264417675,0.989230381639072,64.0141513183362,-0.0324313687884416,-4.86121638522985e-05,2.02077490914236e-13,0.989230484023984,64.0147632024316
0.1,0.068,0.0290925459330697,0.0581768844670362,3.42012361640163,0.987844845645641,56.6776791535613,-0.0344589291579619,-5.83139823293019e-05,2.2388715407585e-13,0.987844936660405,56.6781061507508
0.1,0.072,0.03080565422732,0.0616015641815339,3.42016704455949,0.986376016027795,50.5296155537797,-0.0364865987364818,-6.9228809654698e-05,2.47085656124069e-13,0.986376098538251,50.5299236849557
0.1,0.076,0.0325190682029869,0.0650266741511095,3.42021292382865,0.984824015034482,45.3264932288919,-0.0385143839921867,-8.14284268295469e-05,2.71276755011307e-13,0.984824088513417,45.3267143779538
0.1,0.08,0.0342328048934819,0.0684522382677499,3.42026124910711,0.98318897193145,40.8841420333764,-0.0405422914008407,-9.49846882445297e-05,2.96474987786758e-13,0.983189038770575,40.8843059714377
0.1,0.084,0.0359468813404899,0.071878280421561,3.42031201501205,0.981471023420688,37.061167769345,-0.0425703274462281,-0.00010996952578416,3.23205653488671e-13,0.981471082404357,37.0612868574604
0.1,0.088,0.0376613146045892,0.0753048245210092,3.42036521592221,0.979670314255286,33.7475619762402,-0.0445984986324936,-0.000126454952814456,9.79760418356694e-13,0.979670370091263,33.747655623422
0.15,0.04,0.016040979842181,0.0320805838509977,3.4032539935043,0.99678649541067,215.351448255557,-0.0199537014411662,-1.02678140595565e-05,4.43072062677836e-13,0.996786931835411,215.380746145001
0.15,0.044,0.017645784826102,0.0352897382028171,3.40328291966423,0.996112494337782,177.954467267802,-0.0219492999126834,-1.3667451620739e-05,5.12464871305766e-13,0.996112858746592,177.971182542596
