q,alpha_p,P,alpha_h,s_real,T,v_nom,v_real,lam_max,margin,N_half,eig_type
0.02,0.010000166674167114,0.00010400693388804755,0.009880897609285313,0.019761473655755486,3.4545817272201615,0.005789412895463218,0.005720366520799373,0.9967008264294643,0.003299173570535663,209.75045100853947,real
0.021,0.01050019294707274,0.00011466842825337663,0.010374963042491737,0.02074955383380359,3.45458385659473,0.006078879793266974,0.006006383024743519,0.9963613544117711,0.003638645588228906,190.1491473038524,real
0.022,0.011000221845413027,0.00012585015207606108,0.01086903150244044,0.021737634999999162,3.4545860896159026,0.00636834614315432,0.006292399273342774,0.9960050578298973,0.0039949421701026555,173.15938152485182,real
0.023,0.011500253494253033,0.0001375521277264565,0.011363103132829918,0.022725717200431136,3.4545884262518403,0.006657811919133459,0.0065784152542559425,0.9956318980295764,0.004368101970423588,158.33701042796488,real
0.024,0.012000288018664,0.0001497743786164303,0.01185717807746437,0.02371380048138566,3.454590866469043,0.006947277095226775,0.006864430955212845,0.9952418352255814,0.004758164774418594,145.32847184332292,real
0.025,0.012500325543723647,0.0001625169291995022,0.012351255155318286,0.024701882239676762,3.4545934102257516,0.0072367416454853645,0.007150445597029764,0.9948348258910047,0.005165174108995307,133.84941301141865,real
0.026,0.013000366194516442,0.00017577980497099124,0.012845337172430315,0.02568996784563943,3.4545960574980232,0.007526205543935689,0.007436460708591581,0.9944108245980718,0.005589175401928159,123.6691033612262,real
0.027,0.013500410096133899,0.00018956303246816882,0.013339422934445502,0.026678054669383285,3.4545988082414794,0.007815668764658671,0.007722475503013161,0.9939697833953498,0.006030216604650196,114.59872924166974,real
0.028,0.01400045737367484,0.00020386663927041775,0.013833512585366116,0.02766614275752748,3.4546016624164815,0.00810513128173918,0.008008489968182066,0.9935116543383435,0.006488345661656458,106.48262094886141,real
0.029,0.01450050815224569,0.000218690653999398,0.014327606269267506,0.02865423215681992,3.454604619981937,0.008394593069279121,0.008294504092039842,0.9930363854723513,0.006963614527648709,99.19144176202174,real
0.03,0.015000562556960754,0.0002340351063192187,0.014821704130193727,0.029642322913927883,3.4546076808952946,0.008684054101398053,0.00858051786252203,0.9925439217038252,0.007456078296174784,92.6170367440855,real
0.031,0.015500620712942503,0.00024990002693661613,0.015315806312240632,0.030630415075603545,3.454610845112444,0.008973514352234074,0.008866531267606947,0.9920342091643953,0.00796579083560467,86.66845290939955,real
0.032,0.01600068274532185,0.00026628544760113823,0.01580991295944822,0.03161850868846806,3.4546141125875858,0.009262973795944828,0.00915254429525417,0.9915071871991548,0.00849281280084524,81.26867129471849,real
0.033,0.016500748779238444,0.000283191401105335,0.01630402421589892,0.03260660379920743,3.4546174832735916,0.009552432406707221,0.009438556933460965,0.9909627957630501,0.00903720423694987,76.35219556901065,real
0.034,0.01700081893984093,0.00030061792128495564,0.016798140225670846,0.03359470045447844,3.4546209571219433,0.009841890158718171,0.00972456917023577,0.9904009699500144,0.009599030049985635,71.86299643450558,real
