q,k_hip,c,alpha_p,alpha_h,s_real,T,lam_max,margin,N_half
0.012,-0.16,1.04,0.0060000360005832126,0.005928470100831858,0.01185687074628498,3.454568426884576,0.9988149310882877,0.001185068911712328,584.553673594207
0.01,-0.16,1.04,0.005000020833567712,0.004940383212377832,0.009880726230857562,3.4545661400639567,0.9991773403987387,0.0008226596012612664,842.2220178288853
0.13,-0.12,1.04,0.0650458580746109,0.06443512769064322,0.12878109813050798,3.536238108657428,0.7947747948340871,0.20522520516591292,3.017665644443576
0.12,-0.12,1.04,0.06003605844527842,0.059471328508649605,0.11887255591227297,3.5360809400226048,0.8406312665068962,0.15936873349310376,3.9927335812858504
0.1,-0.12,1.04,0.050020856805770016,0.049548810428653035,0.09905707699383363,3.5358023518635107,0.8993601335064952,0.10063986649350476,6.534702245175828
0.08,-0.12,1.04,0.040010674353988925,0.03963209422277354,0.07924343999341986,3.535572549044623,0.9389108592077405,0.061089140792259466,10.996273255512792
0.06,-0.12,1.04,0.030004501823476935,0.02972001577262312,0.05943128157307437,3.5353926537304767,0.9667556231304724,0.033244376869527636,20.50153137104149
0.058,-0.12,1.04,0.029004066372440036,0.02872901820165734,0.057450132835640426,3.5353774448010062,0.9690140957416357,0.03098590425836434,22.02136633642148
0.056,-0.12,1.04,0.02800365995804695,0.027738054297499933,0.05546899498551899,3.535362744592105,0.9711843957487045,0.02881560425129548,23.706314849793284
0.054,-0.12,1.04,0.027003281576635237,0.0267471228342173,0.053487867522866724,3.5353485538116303,0.9732679684321655,0.026732031567834547,25.58132270777957
0.052,-0.12,1.04,0.02600293022479526,0.025756222651762792,0.051506750078972104,3.535334873142577,0.975266157680445,0.024733842319555,27.67622168816027
0.05,-0.12,1.04,0.02500260489936114,0.02476535259022662,0.04952564228483429,3.535321703242852,0.9771802112535383,0.022819788746461733,30.0269220076047
0.048,-0.12,1.04,0.024002304597401634,0.023774511489880485,0.04754454377127326,3.5353090447454862,0.97901129343583,0.020988706564169957,32.676969905945555
