s,v,amp_pct,step,deviation_norm,deviation_normalized
0.080,0.0232,1.0,1,2.458968e-03,6.219708e+00
0.080,0.0232,1.0,2,3.432659e-03,8.682558e+00
0.080,0.0232,1.0,3,3.794626e-03,9.598117e+00
0.080,0.0232,1.0,4,3.884956e-03,9.826597e+00
0.080,0.0232,1.0,5,3.843142e-03,9.720833e+00
0.080,0.0232,1.0,6,3.735273e-03,9.447989e+00
0.080,0.0232,1.0,7,3.595148e-03,9.093557e+00
0.080,0.0232,1.0,8,3.440759e-03,8.703046e+00
0.080,0.0232,1.0,9,3.281857e-03,8.301121e+00
0.080,0.0232,1.0,10,3.123743e-03,7.901186e+00
0.080,0.0232,1.0,11,2.969262e-03,7.510444e+00
0.080,0.0232,1.0,12,2.819897e-03,7.132641e+00
0.080,0.0232,1.0,13,2.676366e-03,6.769592e+00
0.080,0.0232,1.0,14,2.538957e-03,6.422031e+00
0.080,0.0232,1.0,15,2.407722e-03,6.090085e+00
0.080,0.0232,1.0,16,2.282579e-03,5.773550e+00
0.080,0.0232,1.0,17,2.163376e-03,5.472037e+00
0.080,0.0232,1.0,18,2.049920e-03,5.185063e+00
0.080,0.0232,1.0,19,1.942002e-03,4.912094e+00
0.080,0.0232,1.0,20,1.839403e-03,4.652580e+00
0.080,0.0232,1.0,21,1.741903e-03,4.405964e+00
0.080,0.0232,1.0,22,1.649285e-03,4.171697e+00
0.080,0.0232,1.0,23,1.561336e-03,3.949239e+00
0.080,0.0232,1.0,24,1.477847e-03,3.738063e+00
0.080,0.0232,1.0,25,1.398617e-03,3.537657e+00
0.080,0.0232,1.0,26,1.323449e-03,3.347528e+00
0.080,0.0232,1.0,27,1.252155e-03,3.167197e+00
0.080,0.0232,1.0,28,1.184552e-03,2.996202e+00
0.080,0.0232,1.0,29,1.120465e-03,2.834100e+00
0.080,0.0232,1.0,30,1.059724e-03,2.680464e+00
0.080,0.0232,1.0,31,1.002169e-03,2.534883e+00
0.080,0.0232,1.0,32,9.476425e-04,2.396964e+00
0.080,0.0232,1.0,33,8.959958e-04,2.266330e+00
0.080,0.0232,1.0,34,8.470860e-04,2.142617e+00
0.080,0.0232,1.0,35,8.007763e-04,2.025481e+00
0.080,0.0232,1.0,36,7.569357e-04,1.914591e+00
